               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.017133,            0.012486,           0.0012154,             0.99498,             0.98753,              0.9945,             0.88844,            0.011866,           0.0084643,           0.0012531,            0.003466,            0.003466,            0.003466
                  68,            0.017111,            0.012354,           0.0012096,             0.99806,             0.98927,             0.99435,             0.90533,            0.010031,           0.0079947,           0.0011592,            0.003367,            0.003367,            0.003367
                  69,             0.01623,            0.011687,           0.0013098,             0.99685,             0.98822,             0.99477,              0.9119,            0.010179,           0.0078592,           0.0010771,            0.003268,            0.003268,            0.003268
                  70,            0.016357,            0.011792,           0.0012156,              0.9981,             0.98181,              0.9947,             0.90126,            0.010332,           0.0079937,           0.0010602,            0.003169,            0.003169,            0.003169
                  71,            0.015937,            0.011823,           0.0010987,             0.99795,             0.98877,             0.99478,             0.91107,           0.0099962,            0.008029,          0.00099649,             0.00307,             0.00307,             0.00307
                  72,             0.01614,            0.012073,           0.0010665,             0.99628,             0.98934,             0.99477,             0.90788,            0.010217,           0.0077648,           0.0010091,            0.002971,            0.002971,            0.002971
                  73,            0.015675,            0.011365,           0.0011014,             0.99798,             0.98803,             0.99481,             0.90437,            0.010019,           0.0078821,          0.00094295,            0.002872,            0.002872,            0.002872
                  74,            0.016032,            0.011732,           0.0010741,             0.99844,             0.99039,             0.99486,             0.90628,           0.0096536,           0.0076914,          0.00096445,            0.002773,            0.002773,            0.002773
                  75,            0.015377,             0.01171,          0.00097961,             0.99763,             0.98854,             0.99421,             0.89463,            0.010847,           0.0081835,          0.00099154,            0.002674,            0.002674,            0.002674
                  76,            0.015495,            0.011501,          0.00096995,              0.9963,             0.98891,             0.99476,             0.91256,           0.0098041,           0.0077968,           0.0009551,            0.002575,            0.002575,            0.002575
                  77,            0.015023,            0.010995,          0.00093113,             0.99727,             0.99001,             0.99465,             0.91772,           0.0092579,           0.0074964,          0.00086894,            0.002476,            0.002476,            0.002476
                  78,            0.015149,            0.011357,           0.0011136,             0.99797,             0.99196,             0.99467,             0.92012,           0.0093409,           0.0075603,          0.00083904,            0.002377,            0.002377,            0.002377
                  79,            0.014698,            0.010803,           0.0010165,             0.99793,             0.99144,             0.99485,             0.92013,           0.0094261,           0.0075669,          0.00082722,            0.002278,            0.002278,            0.002278
                  80,            0.014977,            0.011188,           0.0011233,             0.99752,              0.9924,             0.99485,             0.91074,           0.0099939,           0.0076747,          0.00078583,            0.002179,            0.002179,            0.002179
                  81,            0.014855,            0.011369,          0.00092813,             0.98967,             0.98871,             0.99456,              0.9225,           0.0092876,           0.0074372,          0.00079036,             0.00208,             0.00208,             0.00208
                  82,            0.014242,            0.010579,          0.00090525,             0.99544,             0.98997,             0.99477,             0.91802,           0.0090183,           0.0075274,          0.00075378,            0.001981,            0.001981,            0.001981
                  83,            0.014703,            0.011376,          0.00089741,             0.99686,             0.99229,             0.99486,             0.90948,            0.010443,           0.0077486,          0.00075049,            0.001882,            0.001882,            0.001882
                  84,            0.014391,            0.010576,            0.001044,             0.99893,             0.99255,             0.99482,             0.92438,           0.0093759,           0.0073814,          0.00072513,            0.001783,            0.001783,            0.001783
                  85,              0.0145,             0.01103,          0.00094857,             0.99854,             0.99126,             0.99486,              0.9246,           0.0086898,           0.0071669,          0.00071211,            0.001684,            0.001684,            0.001684
                  86,            0.014365,            0.011054,           0.0009132,             0.99693,             0.99218,             0.99491,             0.91395,           0.0097589,           0.0074787,          0.00072794,            0.001585,            0.001585,            0.001585
                  87,            0.013863,            0.010361,          0.00081471,             0.99798,             0.99237,             0.99486,              0.9194,           0.0091297,           0.0074549,          0.00068707,            0.001486,            0.001486,            0.001486
                  88,            0.013892,            0.010636,          0.00086814,             0.99866,             0.99219,             0.99495,             0.91977,            0.009086,           0.0072789,          0.00067539,            0.001387,            0.001387,            0.001387
                  89,            0.013989,            0.010422,          0.00086071,             0.99884,             0.99207,             0.99491,             0.93024,           0.0087586,           0.0072474,           0.0007009,            0.001288,            0.001288,            0.001288
                  90,            0.013881,             0.01091,           0.0008317,             0.99745,             0.99267,             0.99491,             0.92088,           0.0091718,            0.007237,          0.00064588,            0.001189,            0.001189,            0.001189
                  91,              0.0137,            0.010597,          0.00076714,             0.99624,             0.99229,             0.99491,              0.9228,           0.0092275,           0.0072532,           0.0006321,             0.00109,             0.00109,             0.00109
                  92,            0.013481,            0.010338,          0.00084865,              0.9978,             0.99212,             0.99491,             0.92794,           0.0086025,           0.0071168,          0.00061364,            0.000991,            0.000991,            0.000991
                  93,            0.013424,            0.010221,          0.00085896,             0.99762,             0.99196,             0.99485,             0.93054,           0.0084146,            0.007087,          0.00062795,            0.000892,            0.000892,            0.000892
                  94,            0.013428,            0.010157,           0.0008308,             0.99817,             0.99054,             0.99491,             0.93122,           0.0085411,           0.0069766,          0.00061421,            0.000793,            0.000793,            0.000793
                  95,            0.013281,            0.010275,          0.00081191,             0.99767,             0.99195,             0.99495,             0.92864,           0.0083926,            0.006973,          0.00059257,            0.000694,            0.000694,            0.000694
                  96,            0.013011,            0.010202,          0.00070855,             0.99764,             0.99238,             0.99495,             0.93242,           0.0083867,           0.0069544,          0.00059724,            0.000595,            0.000595,            0.000595
                  97,            0.013129,            0.010465,          0.00072369,             0.99837,             0.99137,             0.99491,             0.92988,           0.0083552,           0.0069647,          0.00059171,            0.000496,            0.000496,            0.000496
                  98,            0.013028,            0.010045,          0.00080188,             0.99672,             0.99211,              0.9949,             0.93282,           0.0082489,           0.0068219,          0.00058494,            0.000397,            0.000397,            0.000397
                  99,            0.012796,            0.010185,          0.00079753,             0.99764,             0.98592,             0.99479,             0.93717,            0.008064,           0.0068038,          0.00057774,            0.000298,            0.000298,            0.000298
